순위,노래,가수
1,Supernova,aespa
2,클락션 (Klaxon),(여자)아이들
3,How Sweet,NewJeans
4,Sticky,KISS OF LIFE
5,Small girl (feat. 도경수(D.O.)),이영지
6,Supernatural,NewJeans
7,소나기,이클립스 (ECLIPSE)
8,한 페이지가 될 수 있게,DAY6 (데이식스)
9,고민중독,QWER
10,Bubble Gum,NewJeans
11,나는 아픈 건 딱 질색이니까,(여자)아이들
12,Welcome to the Show,DAY6 (데이식스)
13,Armageddon,aespa
14,사랑은 늘 도망가,임영웅
15,Magnetic,아일릿(ILLIT)
16,첫 만남은 계획대로 되지 않아,TWS (투어스)
17,해야 (HEYA),IVE (아이브)
18,예뻤어,DAY6 (데이식스)
19,온기,임영웅
20,우리들의 블루스,임영웅
21,SPOT! (feat. JENNIE),지코 (ZICO)
22,천상연,이창섭
23,Home,임영웅
24,모래 알갱이,임영웅
25,다시 만날 수 있을까,임영웅
26,이제 나만 믿어요,임영웅
27,Do or Die,임영웅
28,에피소드,이무진
29,무지개,임영웅
30,London Boy,임영웅
31,Polaroid,임영웅
32,Boom Boom Bass,RIIZE
33,인생찬가,임영웅
34,슬픈 초대장,순순희(지환)
35,미안해 미워해 사랑해,Crush
36,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
37,Hype Boy,NewJeans
38,연애편지,임영웅
39,Love wins all,아이유
40,비의 랩소디,임재현
41,Seven (feat. Latto) - Clean Ver.,정국
42,I AM,IVE (아이브)
43,WAY 4 LUV,PLAVE
44,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
45,보금자리,임영웅
46,오래된 노래,허각
47,To. X,임한별
48,Attention,이무진
49,ETA,이진성 (먼데이 키즈)
50,Super Shy,김희재
51,헤어지자 말해요,#안녕
52,우리 영화,태연 (TAEYEON)
53,밤양갱,NewJeans
54,From,NewJeans
55,Drama,NewJeans
56,너의 모든 순간,박재정
57,Ditto,PLAVE
58,Watch Me Woo!,비비 (BIBI)
59,SHEESH,PLAVE
60,청혼하지 않을 이유를 못 찾았어,aespa
61,버추얼 아이돌,성시경
62,사랑인가 봐,NewJeans
63,Spicy,PLAVE
64,Dynamite,BABYMONSTER
65,주저하는 연인들을 위해,이무진
66,사건의 지평선,PLAVE
67,인사,멜로망스
68,퀸카 (Queencard),aespa
69,LOVE DIVE,방탄소년단
70,Girls Never Die,잔나비
71,파이팅 해야지 (Feat. 이영지),윤하 (YOUNHA)
72,Cosmic,범진
73,Accendio,(여자)아이들
74,Love 119,IVE (아이브)
75,봄날,tripleS (트리플에스)
76,Love Lee,부석순 (SEVENTEEN)
77,Get A Guitar,Red Velvet (레드벨벳)
78,사막에서 꽃을 피우듯,IVE (아이브)
79,삐그덕 (Walk),RIIZE
80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",방탄소년단
81,"모든 날, 모든 순간 (Every day, Every Moment)",AKMU (악뮤)
82,그랬나봐,RIIZE
83,Perfect Night,우디 (Woody)
84,다정히 내 이름을 부르면,NCT 127
85,OMG,AKMU (악뮤)
86,꿈,폴킴
87,네가 내 마음에 자리 잡았다 (Into You),유회승 (엔플라잉)
88,I Don't Think That I Like Her,LE SSERAFIM (르세라핌)
89,Live My Life,경서예지
90,MANIAC,전건호
91,취중고백,NewJeans
92,Who,태연 (TAEYEON)
93,봄눈,엔플라잉 (N.Flying)
94,내가 그댈,Charlie Puth
95,Midas Touch,aespa
96,MAESTRO,VIVIZ (비비지)
97,Lucky Girl Syndrome,김민석
98,Right Now,지민
99,Supersonic,10CM
100,Impossible,하동균
