종목명,현재가,전일비,등락률
삼성전자,"78,900","하락
				1,300",-1.62%
SK하이닉스,"197,000","하락
				2,700",-1.35%
LG에너지솔루션,"332,000","하락
				4,500",-1.34%
삼성바이오로직스,"929,000","하락
				2,000",-0.21%
현대차,"256,500","상승
				1,500",+0.59%
삼성전자우,"63,300","하락
				1,400",-2.16%
셀트리온,"198,000","상승
				800",+0.41%
기아,"104,800","하락
				1,100",-1.04%
KB금융,"87,100","상승
				3,100",+3.69%
신한지주,"57,300","상승
				1,800",+3.24%
POSCO홀딩스,"324,500","하락
				6,000",-1.82%
삼성물산,"145,700","상승
				1,300",+0.90%
NAVER,"157,600","상승
				100",+0.06%
삼성SDI,"313,000","하락
				7,500",-2.34%
LG화학,"292,000","하락
				500",-0.17%
현대모비스,"221,500","상승
				1,500",+0.68%
삼성생명,"95,400","상승
				6,600",+7.43%
HD현대중공업,"213,000","상승
				9,000",+4.41%
하나금융지주,"62,900","상승
				1,900",+3.11%
메리츠금융지주,"90,800","상승
				2,000",+2.25%
삼성화재,"348,500","상승
				7,500",+2.20%
카카오,"36,750","상승
				200",+0.55%
LG전자,"97,900","상승
				1,300",+1.35%
포스코퓨처엠,"204,500","하락
				6,000",-2.85%
크래프톤,"321,000","하락
				3,500",-1.08%
한화에어로스페이스,"303,000","하락
				2,000",-0.66%
HD한국조선해양,"203,500","상승
				6,800",+3.46%
HMM,"17,880","하락
				60",-0.33%
KT&G,"100,900","상승
				1,800",+1.82%
LG,"79,900","하락
				600",-0.75%
한국전력,"19,290","상승
				20",+0.10%
한미반도체,"126,400","하락
				1,300",-1.02%
우리금융지주,"16,060","상승
				640",+4.15%
SK텔레콤,"54,900","상승
				400",+0.73%
SK스퀘어,"86,900","하락
				1,200",-1.36%
두산에너빌리티,"18,220","하락
				530",-2.83%
기업은행,"13,930","상승
				240",+1.75%
삼성에스디에스,"142,400","하락
				300",-0.21%
고려아연,"528,000","상승
				9,000",+1.73%
삼성전기,"146,000","하락
				100",-0.07%
HD현대일렉트릭,"289,500","하락
				8,000",-2.69%
카카오뱅크,"21,800","하락
				200",-0.91%
SK,"138,500",보합0,0.00%
한화오션,"31,750","하락
				50",-0.16%
SK이노베이션,"101,600","하락
				700",-0.68%
KT,"38,250","상승
				350",+0.92%
삼성중공업,"10,940","상승
				120",+1.11%
KODEX CD금리액티브(합성),"1,045,450","상승
				75",+0.01%
포스코인터내셔널,"51,300","하락
				1,200",-2.29%
SK바이오팜,"106,300","상승
				700",+0.66%
현대글로비스,"106,100","하락
				3,200",-2.93%
DB손해보험,"111,300","상승
				5,300",+5.00%
대한항공,"21,150",보합0,0.00%
유한양행,"96,600","상승
				1,400",+1.47%
아모레퍼시픽,"123,300","상승
				400",+0.33%
S-Oil,"63,000","하락
				2,200",-3.37%
하이브,"169,600","상승
				3,200",+1.92%
HD현대,"81,700","상승
				300",+0.37%
TIGER CD금리투자KIS(합성),"54,800","상승
				5",+0.01%
LG이노텍,"254,000","상승
				2,000",+0.79%
현대차2우B,"168,000","하락
				900",-0.53%
KODEX 200,"36,800","하락
				90",-0.24%
현대로템,"53,600","하락
				800",-1.47%
한국항공우주,"58,300","상승
				900",+1.57%
LG디스플레이,"11,330","하락
				10",-0.09%
에코프로머티,"80,400","하락
				2,600",-3.13%
한국타이어앤테크놀로지,"43,100","상승
				250",+0.58%
LG생활건강,"337,500","상승
				1,500",+0.45%
삼성E&A,"26,750","상승
				500",+1.90%
LS ELECTRIC,"174,100","하락
				5,200",-2.90%
맥쿼리인프라,"11,930","상승
				20",+0.17%
CJ제일제당,"342,000","하락
				11,000",-3.12%
HD현대마린솔루션,"114,400","상승
				1,900",+1.69%
넷마블,"57,200","하락
				800",-1.38%
미래에셋증권,"8,130","상승
				130",+1.63%
삼성카드,"41,350","상승
				450",+1.10%
한화솔루션,"27,800","하락
				300",-1.07%
SK바이오사이언스,"60,500","상승
				1,700",+2.89%
SKC,"121,900","하락
				3,000",-2.40%
코웨이,"62,000","상승
				1,000",+1.64%
HD현대미포,"112,900","상승
				3,800",+3.48%
KODEX KOFR금리액티브(합성),"107,760","상승
				10",+0.01%
NH투자증권,"13,680","상승
				160",+1.18%
LIG넥스원,"202,500","하락
				3,500",-1.70%
한진칼,"66,300","상승
				1,300",+2.00%
한국가스공사,"47,800","하락
				2,700",-5.35%
두산로보틱스,"67,700","하락
				800",-1.17%
현대오토에버,"159,800","하락
				600",-0.37%
엔씨소프트,"193,000","상승
				10,100",+5.52%
LG유플러스,"9,690","상승
				40",+0.41%
TIGER 미국S&P500,"18,475","하락
				315",-1.68%
GS,"45,400","상승
				50",+0.11%
한국금융지주,"73,600","상승
				2,000",+2.79%
삼성증권,"45,650","상승
				400",+0.88%
두산밥캣,"40,250","하락
				450",-1.11%
포스코DX,"26,350","하락
				800",-2.95%
현대차우,"167,000",보합0,0.00%
삼양식품,"524,000","하락
				24,000",-4.38%
LS,"118,500","상승
				1,400",+1.20%
한미약품,"293,000","상승
				4,000",+1.38%
