순위,제목,가수,앨범,좋아요
1,Pump Up The Volume!,PLAVE,Pump Up The Volume!,"35,480"
2,클락션 (Klaxon),(여자)아이들,I SWAY,"46,550"
3,How Sweet,NewJeans,How Sweet,"133,174"
4,Sticky,KISS OF LIFE,Sticky,"67,964"
5,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,"135,240"
6,Supernatural,NewJeans,Supernatural,"81,737"
7,Bubble Gum,NewJeans,How Sweet,"104,154"
8,Armageddon,aespa,Armageddon - The 1st Album,"75,743"
9,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,"57,949"
10,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,"42,852"
11,Supersonic,프로미스나인,Supersonic,"16,883"
12,별별별 (See that?),NMIXX,Fe3O4: STICK OUT,"17,696"
13,오래된 노래,"허각, 임한별, 이무진, 이진성 (먼데이 키즈), 김희재, #안녕",오래된 노래,"26,465"
14,삐그덕 (Walk),NCT 127,WALK - The 6th Album,"37,170"
15,Live My Life,aespa,Armageddon - The 1st Album,"43,125"
16,Cosmic,Red Velvet (레드벨벳),Cosmic,"31,246"
17,네가 내 마음에 자리 잡았다 (Into You),엔플라잉 (N.Flying),네가 내 마음에 자리 잡았다,"28,160"
18,Who,지민,MUSE,"25,208"
19,내가 그댈,하동균,내가 그댈,"15,625"
20,플러팅,황인욱,플러팅,"10,477"
21,Right Now,NewJeans,Supernatural,"33,692"
22,도망가자 (Run With Me),로이킴,도망가자 (소년시절의 너 X 로이킴),"5,785"
23,Balloon in Love,선미,Balloon in Love,"19,483"
24,Smeraldo Garden Marching Band (feat. 로꼬),"지민, 로꼬",MUSE,"26,148"
25,Chk Chk Boom,Stray Kids (스트레이 키즈),ATE,"22,313"
26,FOREVER,BABYMONSTER,FOREVER,"15,378"
27,고민중독 (Ballad Ver.),"허용별 (허각, 신용재, 임한별)",허용별 프로젝트 - Special Single,"14,071"
28,Slow Dance (feat. Sofia Carson),"지민, Sofia Carson",MUSE,"13,511"
29,Be Mine,지민,MUSE,"13,617"
30,Sexy In The Air,태민 (TAEMIN),ETERNAL,"6,847"
31,Rebirth (Intro),지민,MUSE,"13,556"
32,SICKUHH (Feat. Kid Milli),NMIXX,Fe3O4: STICK OUT,"7,036"
33,T의 연애,탑현,T의 연애,"11,959"
34,Rains in Heaven,NCT DREAM,Rains in Heaven,"10,085"
35,혼술하고 싶은 밤,임한별,혼술하고 싶은 밤,"4,359"
36,ABCD,나연 (TWICE),NA,"18,525"
37,Horizon,태민 (TAEMIN),ETERNAL,"5,440"
38,사랑한다는 말의 뜻을 알아가자 (Meaning of Love),NCT 127,WALK - The 6th Album,"26,013"
39,민들레,기안84,태어난 김에 음악일주,"3,319"
40,Love Is Lonely,NMIXX,Fe3O4: STICK OUT,"6,691"
41,아무 말 없이 헤어지자,V.O.S,아무 말 없이 헤어지자,871
42,17,도영 (DOYOUNG),17,"16,718"
43,BEAT BEAT,NMIXX,Fe3O4: STICK OUT,"6,118"
44,Ice Cream,전소미,Ice Cream,"4,646"
45,G.O.A.T,태민 (TAEMIN),ETERNAL,"5,076"
46,"Red light sign, but we go",NMIXX,Fe3O4: STICK OUT,"5,967"
47,Heaven,태연 (TAEYEON),Heaven,"13,763"
48,바람이 불지 않은 것처럼,연변대학최씨,바람이 불지 않은 것처럼 (웹툰 '선녀외전' X 연변대학최씨),"10,457"
49,The Unknown Sea,태민 (TAEMIN),ETERNAL,"4,811"
50,원하고 원망하죠 (웹툰 '세이렌' X 하은(포맨)),하은 (포맨),원하고 원망하죠 (웹툰 '세이렌' X 하은(포맨)),"2,352"
51,Say Less,태민 (TAEMIN),ETERNAL,"4,656"
52,Moving On,NMIXX,Fe3O4: STICK OUT,"6,123"
53,그대가 웃으면 좋아,박지현,그대가 웃으면 좋아,"4,176"
54,hey! hey!,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,"18,639"
55,Deja Vu,태민 (TAEMIN),ETERNAL,"4,447"
56,Crush,태민 (TAEMIN),ETERNAL,"4,414"
57,Rockstar,리사 (LISA),Rockstar,"10,295"
58,어린왕자,서은광 (비투비),어린왕자,"9,946"
59,처음 보는 나,죠지,gimbap,"3,840"
60,Never Let Go,정국,Never Let Go,"33,573"
61,Dandelion,재현 (JAEHYUN),J - The 1st Album,"12,634"
62,산책,성시경,산책,"13,094"
63,처음 본 순간 (영화 사랑의 하츄핑 OST),윈터 (WINTER),처음 본 순간 (영화 사랑의 하츄핑 OST),"8,947"
64,빌런,LUCY,FROM.,"9,664"
65,Cheeky Icy Thang,STAYC(스테이씨),Metamorphic,"10,369"
66,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,"5,107"
67,Beat the Heat,프로미스나인,Supersonic,"4,690"
68,New Woman (Feat. ROSALÍA),리사 (LISA),New Woman (Feat. ROSALÍA),"4,591"
69,애상,이무진,애상,"12,424"
70,너의 곁에,박지현,DNA러버 OST Part.2,"2,056"
71,폭죽타임,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"6,332"
72,폭포,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"6,612"
73,낙화,LUCY,FROM.,"10,678"
74,ERROR 405,JD1,ERROR 405,"3,728"
75,OST ( Feat.CHANMINA ),ASH ISLAND,OST,"11,701"
76,Take A Chance,프로미스나인,Supersonic,"4,267"
77,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,"14,410"
78,사랑인걸,허각,사랑인걸,"3,990"
79,웃으며,신예영,웃으며,"5,028"
80,I Like That,JD1,낮과 밤이 다른 그녀 OST Part.4,"3,151"
81,흔들린 우정,박지현,미스터로또 베스트 PART63,"1,529"
82,어느날 문득,박지현,미스터로또 베스트 PART56,"2,273"
83,Roses,재현 (JAEHYUN),J - The 1st Album,"11,061"
84,28k LOVE!!,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,709"
85,서른 즈음에,박지현,미스터로또 베스트 PART51,"2,597"
86,검을 현,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,265"
87,Songbird (Korean Ver.),NCT WISH,Songbird,"14,401"
88,내 사랑 그대여,박지현,미스터로또 베스트 PART57,"2,103"
89,태클을 걸지마,박지현,미스터로또 베스트 PART52,"2,442"
90,동동구루무,박지현,미스터로또 베스트 PART61,"1,777"
91,꽃물,박지현,미스터로또 베스트 PART60,"1,903"
92,리턴매치,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,120"
93,SOLD OUT,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,127"
94,사랑아,박지현,미스터로또 베스트 PART50,"2,606"
95,캐논,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,555"
96,내게로 불어와,이승윤,PRE-RELEASE 3RD ALBUM [YEOK SEONG],"5,245"
97,찬찬찬,박지현,미스터로또 베스트 PART53,"2,242"
98,Interlude : Showtime,지민,MUSE,"10,995"
99,Pricey,NCT 127,WALK - The 6th Album,"16,273"
100,여름이잖아 (Feat. 마크 of NCT),BIG Naughty (서동현),여름이잖아,"18,455"
