메뉴명,가격정보
연잎 오리구이,"7,700"
열무 감초고추장 비빔밥,"4,900"
열무 두부강된장 비빔밥,"5,200"
열무 비빔면,"3,900"
마라치킨 덮밥,"4,900"
마라치킨 볶음면,"4,900"
믹스후라이,"6,000"
김피탕,"5,500"
빅김피탕,"7,900"
이남장 설렁탕,"7,900"
사골 조랭이떡 만둣국,"5,900"
치킹 반반순살(후라이드),"14,900"
"치킹 반반순살(후라이드,양념)","14,900"
숯불직화구이 덮밥,"4,900"
진달래,"6,900"
소불고기 감초고추장 비빔밥,"4,700"
시골제육 두부강된장 비빔밥,"4,500"
해바라기,"8,500"
스페셜 하이라이스,"4,900"
동백,"5,200"
돈까스도련님 고기고기,"5,600"
스팸 김치볶음밥,"3,900"
새치 고기고기,"5,900"
반찬 김치 부대찌개,"3,900"
치킨 2조각,"1,300"
토네이도 소세지,"1,200"
스팸,800
멘치카츠,800
해바라기,"10,000"
매화,"10,500"
진달래,"8,000"
개나리,"8,700"
돈까스도련님 고기고기,"6,600"
새치 고기고기,"7,100"
돈치 고기고기,"6,100"
송정식 떡갈비 Ⅱ,"6,900"
제육돈까스 도련님,"4,900"
숯불직화구이,"6,800"
소불고기,"5,700"
메가치킨제육,"7,800"
칠리 찹쌀탕수육도련님,"4,500"
동백,"6,200"
치킨제육,"5,000"
돈까스도련님,"4,900"
제육볶음,"4,700"
돈치스팸,"5,000"
송정식 떡갈비,"6,900"
제육 김치찌개 정식,"8,800"
빅치킨마요 김치 부대찌개 정식,"8,200"
치킨마요 김치 부대찌개 정식,"7,600"
빅치킨마요 김치찌개 정식,"7,700"
치킨마요 김치찌개 정식,"7,100"
메가스팸마요,"5,900"
스팸마요,"4,000"
메가치킨마요,"6,200"
왕치킨마요,"5,100"
빅치킨마요,"4,400"
치킨마요,"3,800"
참치마요,"3,600"
돈치마요,"4,100"
돈까스 카레,"4,800"
스팸 김치볶음밥,"4,900"
김치볶음밥,"4,100"
스팸 철판볶음밥,"4,900"
소불고기 철판볶음밥,"5,100"
묵은지 김치찌개,"5,000"
김치 부대찌개,"6,100"
스페셜 하이라이스,"5,900"
핫 치즈 닭갈비덮밥,"6,100"
오리지널 치즈 닭갈비덮밥,"6,100"
숯불직화구이 덮밥,"6,000"
마파두부 덮밥,"5,000"
왕카레돈까스덮밥,"6,100"
새우돈까스 덮밥,"4,400"
돈까스 덮밥,"4,300"
아보카도 소불고기 명란 비빔밥,"6,700"
소불고기 감초고추장 비빔밥,"5,700"
시골제육 두부강된장 비빔밥,"5,500"
참치야채 감초고추장 비빔밥,"3,800"
튼튼도시락,"5,300"
반찬 묵은지김치찌개,"4,400"
반찬 카레,"2,900"
반찬 순살 고등어 간장구이,"3,900"
반찬 김치 부대찌개,"4,900"
반찬 치킨,"3,800"
반찬 고기고기,"3,600"
반찬 돈까스도련님,"4,100"
반찬 제육볶음,"3,500"
반찬 토네이도 소세지,"3,200"
반찬 돈까스,"2,900"
치즈버터 해시 포테이토 스틱,"2,200"
허니버터 해시 포테이토 스틱,"2,200"
해시 포테이토 스틱,"2,000"
뉴 감자고로케,"2,700"
미니 찹쌀핫도그,"2,800"
미니 찹쌀탕수육,"2,300"
케이준후라이,"1,900"
멘치카츠,"2,800"
통현미 닭강정(소),"3,500"
통현미 닭강정(중),"8,500"
후라이드 순살(중),"7,500"
후라이드 순살(소)_양념치킨소스,"4,000"
후라이드 순살(소)_케이준소스,"4,000"
3종 미니반찬B,"1,300"
3종 미니반찬A,"1,300"
오징어젓갈,600
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
볶음김치,500
김치,400
무말랭이 무침,500
한솥밥,"1,000"
현미밥,"1,700"
리얼꿀 미니호떡,"2,200"
